date,btc,eth,doge,ltc,bch,etc,dash
2018-02-13,87518137164.65587,50177654592.34985,447644662.4603164,6520336371.94764,10538501909.185856,2230836572.846463,2861736026.66574
2018-02-14,87751185602.07506,50664695760.19002,448707831.0242439,6592427094.640837,10559775291.359814,2286471295.7684584,2876811530.776558
2018-02-15,88106889604.36296,50798724845.66157,451887793.0436158,6666878193.202637,10561816575.379852,2281128163.3913503,2884351934.594497
2018-02-16,88259457005.8265,50877536612.82268,452080241.5427012,6704524349.4934,10588360428.986116,2301328400.38712,2889960027.7290454
2018-02-17,88485757539.32742,51186325200.2818,452945555.45068264,6815820663.349411,10604228148.52708,2305452439.7926693,2867302983.031345
2018-02-18,88573560215.64131,51161849206.985374,451786288.55007595,6833198811.944695,10608558524.721252,2295100808.6396813,2833531472.640728
2018-02-19,88883782328.29214,50870926336.24459,452261984.7369968,6872162615.190744,10627215834.018503,2396282152.020367,2839249018.995787
2018-02-20,89197257519.01132,50644470570.9637,455788780.7938524,6915224670.808236,10632517569.06342,2365093007.862592,2839967881.1735
2018-02-21,89236281121.62009,50457801546.221,455388222.819522,6918950673.407392,10623523851.392714,2324285356.0389676,2825773974.417788
2018-02-22,90327013969.29126,50035368311.82698,473807480.0665066,7085171606.205797,10800871949.410934,2320210886.062337,2901114512.595381
2018-02-23,90470291995.21626,50179968416.375656,475890783.1032685,7154323756.145213,10802079399.933315,2391354859.2326145,2897642371.428453
2018-02-24,90393792237.43896,50295670198.444214,474537726.75032645,7163254553.687776,10775811761.81159,2403917769.212088,2897987196.606257
2018-02-25,90387966292.8878,50231064990.85882,474105514.9339542,7178960753.617973,10772657935.707129,2400409066.03709,2897441237.3059025
2018-02-26,90514379104.85938,50321015884.49212,475007039.9304477,7191753928.157009,10782837230.339493,2407339191.8686056,2905914624.5937586
2018-02-27,90673519479.02832,50437874496.94684,474689762.8108405,7233244800.362488,10787352680.767416,2425261871.2473297,2907902714.3747506
2018-02-28,90787808338.4731,50383935513.46819,473477109.4246596,7254887417.035021,10801461654.337973,2376398635.8708615,2905128548.308497
2018-03-01,91017710009.69667,50520295457.66724,474987375.50829536,7263577697.870122,10809603474.44756,2384478934.2876754,2904117743.3172846
2018-03-02,91174068724.30382,50504352454.81698,473622296.145479,7272095771.986421,10810987495.933662,2391101531.239377,2903063503.742914
